date,A1,A2,A3,A4,A5,A6,A7,A8,A9,A10,A11,A12,A13,A14,A15,A16,A17,A18,A19
20170205,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,5,10,10,10
20170208,47,50,50,50,50,50,50,50,50,50,50,50,50,50,50,45,50,50,50
20170209,57,60,60,60,60,60,60,60,60,60,58,60,60,60,60,55,60,60,60
20170210,97,100,100,100,100,100,100,100,100,100,94,100,100,91,100,93,99,100,100
20170216,107,110,110,110,110,110,110,110,109.75,110,104,110,110,101,110,103,109,110,110
20170217,146,149,150,149,150,149,150,149,149.75,150,104,150,150,141,150,139,148,150,150
20170220,151,154,155,154,155,154,155,154,154.75,155,104,155,150,146,155,144,153,155,155
20170223,161,164,165,164,165,164,165,164,164.75,165,112,164,158,156,165,154,163,163,165
20170224,194,201,205,203,205,203,196.5,200,203.75,202.5,148,197.5,197,196,203,191,163,163,205
20170302,204,211,215,213,215,213,204.5,210,213.75,212.5,158,207,207,206,213,200.5,171,171,214.5
20170309,213.25,220,225,223,225,223,214,218,223.25,222.5,166,216.125,217,216,223,210.5,181,181,224.25
20170315,400.25,395,425,389,361,414,400,394,419.25,406.5,347,390.125,397,392,407,396.5,366,367,401.25
20170317,470.25,474,505,466,441,493,480,464,499.25,485.5,352,467.125,464,472,486,475,371,447,480.25
20170317,470.25,484,505,466,451,503,490,474,509.25,495.5,362,477.125,474,482,496,485,381,457,490.25
20170320,475.25,489,510,471,456,508,495,479,514.25,500.5,362,482.125,479,487,501,490,386,462,495.25
20170406,484.25,498.5,518,481,466,516,505,489,524.25,510.5,370,492.125,489,496.5,511,500,394,464,505.25
20170407,508.25,533.5,545,519,506,555,540,521,562.25,548.5,388,520.125,524,536.5,551,538,434,503,545.25
20170413,517.25,543.5,555,529,516,565,550,530,572.25,558.5,396,529.375,532,546.5,561,548,442,511,555.25
20170420,527.25,552.5,555,538.5,526,575,560,540,582.25,568.5,404,539.375,540,556.5,571,558,452,520,565.25
20170420,532.25,557.5,560,543.5,531,580,565,545,587.25,573.5,409,544.375,545,561.5,576,563,457,525,570.25
20170421,558.25,620.5,640,619.5,610,660,633,607,667.25,624.5,485,580.375,623,633.5,656,643,521,603,650.25
20170427,568.25,630,650,629.5,620,670,643,615,677.25,634.5,493,589.875,633,643,666,653,531,612.5,659.75
20170428,583.25,668,690,654.5,653,710,681,651,717.25,673.5,510,626.875,673,683,704,693,539,644.5,699.75
20170504,584.75,677.5,700,656.5,663,720,691,659,725.25,683.5,520,636.375,683,685,714,695,541,644.5,709.75
20170511,594.75,686.75,710,658.5,664.5,730,701,668.75,735.25,685,520,646.375,692.25,693,724,697,549,644.75,719.75
20170512,614.75,757.75,790,729.5,744.5,810,776,714.75,815.25,752,590,710.375,772.25,773,804,777,549,704.75,798.75
20170516,762.75,937.75,989,860.5,912.5,1007,956,887.75,1008.25,916,768,877.375,935.25,961,999,961,715,862.75,950.75
20170520,767.75,942.75,994,865.5,917.5,1012,961,892.75,1013.25,921,768,882.375,940.25,966,1004,966,715,867.75,955.75
